id_aktora	imie	nazwisko	data_ur	kraj_urodzenia
1_A	Jeremy	Irons	1948-09-19	Wielkia Brytania
10_A	Peggy	Ashcroft	1907-12-22	Wielkia Brytania
100_A	Jamie	Foxx	1967-12-13	Stany Zjednoczone
101_A	Morgan	Freeman	1937-06-01	Stany Zjednoczone
102_A	Brenda	Fricker	1945-02-17	Irlandia
103_A	Clark	Gable	1901-02-01	Stany Zjednoczone
104_A	Greer	Garson	1904-09-29	Wielkia Brytania
105_A	Marcia	Gay Harden	1959-08-14	Stany Zjednoczone
106_A	Judy	Gholliday	1921-06-21	Stany Zjednoczone
107_A	John	Gielgud	1904-04-14	Wielkia Brytania
108_A	Whoopi	Goldberg	1955-11-13	Stany Zjednoczone
109_A	Cuba	Gooding Jr.	1968-01-02	Stany Zjednoczone
11_A	Mary	Astor	1906-05-03	Stany Zjednoczone
110_A	Ruth	Gordon	1896-10-30	Stany Zjednoczone
111_A	Louis	Gossett Jr.	1936-05-27	Stany Zjednoczone
112_A	Gloria	Grahame	1923-11-28	Stany Zjednoczone
113_A	Lee	Grant	1927-10-31	Wielkia Brytania
114_A	Joel	Grey	1932-04-11	Stany Zjednoczone
115_A	Hugh	Griffith	1912-05-30	Wielkia Brytania
116_A	Alec	Guinness	1914-04-02	Wielkia Brytania
117_A	Edmund	Gwenn	1877-09-26	Wielkia Brytania
118_A	Gene	Hackman	1930-01-30	Stany Zjednoczone
119_A	Tom	Hanks	1956-08-09	Stany Zjednoczone
12_A	Fay	Bainter	1893-12-07	Stany Zjednoczone
120_A	Rex	Harrison	1908-03-05	Wielkia Brytania
121_A	Anne	Hathaway	1982-11-12	Stany Zjednoczone
122_A	Helen	Hayes	1900-10-10	Stany Zjednoczone
123_A	Susan	Hayward	1917-06-30	Stany Zjednoczone
124_A	Eileen	Heckart	1919-03-29	Stany Zjednoczone
125_A	Van	Heflin	1908-12-13	Stany Zjednoczone
126_A	Audrey	Hepburn	1929-05-04	Belgia
127_A	Katharine	Hepburn	1907-05-12	Stany Zjednoczone
128_A	Charlton	Heston	1923-10-04	Stany Zjednoczone
129_A	Wendy	Hiller	1912-08-15	Wielkia Brytania
13_A	Christian	Bale	1974-01-30	Wielkia Brytania
130_A	Dustin	Hoffman	1937-08-08	Stany Zjednoczone
131_A	William	Holden	1918-04-17	Stany Zjednoczone
132_A	Celeste	Holm	1917-04-29	Stany Zjednoczone
133_A	Anthony	Hopkins	1937-12-13	Wielkia Brytania
134_A	John	Houseman	1902-10-22	Rumunia
135_A	Jennifer	Hudson	1981-09-12	Stany Zjednoczone
136_A	Josephine	Hull	1877-01-03	Stany Zjednoczone
137_A	Helen	Hunt	1963-06-15	Stany Zjednoczone
138_A	Linda	Hunt	1945-04-02	Stany Zjednoczone
139_A	Holly	Hunter	1958-03-20	Stany Zjednoczone
14_A	Martin	Balsam	1919-11-04	Stany Zjednoczone
140_A	Kim	Hunter	1922-11-12	Stany Zjednoczone
141_A	William	Hurt	1950-03-20	Stany Zjednoczone
142_A	Anjelica	Huston	1951-07-08	Stany Zjednoczone
143_A	Walter	Huston	1883-04-05	Kanada
144_A	Timothy	Hutton	1960-08-16	Stany Zjednoczone
145_A	Burl	Ives	1909-06-14	Stany Zjednoczone
146_A	Glenda	Jackson	1936-05-09	Stany Zjednoczone
147_A	Dean	Jagger	1903-10-07	Stany Zjednoczone
148_A	Emil	Jannings	1884-07-23	Austria
149_A	Ben	Johnson	1918-06-13	Stany Zjednoczone
15_A	Anne	Bancroft	1931-09-17	Stany Zjednoczone
150_A	Angelina	Jolie	1975-06-04	Stany Zjednoczone
151_A	Jennifer	Jones	1919-03-02	Stany Zjednoczone
152_A	Shirley	Jones	1934-03-31	Stany Zjednoczone
153_A	Diane	Keaton	1946-01-05	Stany Zjednoczone
154_A	Lila	Kedrova	1918-11-09	Rosja
155_A	Grace	Kelly	1929-10-12	Stany Zjednoczone
156_A	George	Kennedy	1925-02-18	Stany Zjednoczone
157_A	Nicole	Kidman	1967-06-20	Stany Zjednoczone
158_A	Ben	Kingsley	1943-12-31	Stany Zjednoczone
159_A	Kevin	Kline	1947-11-24	Stany Zjednoczone
16_A	Javier	Bardem	1969-03-01	Hiszpania
160_A	Burt 	Lancaster 	1913-10-02	Stany Zjednoczone
161_A	Martin	Landau	1928-06-20	Stany Zjednoczone
162_A	Jessica	Lange	1964-12-28	Stany Zjednoczone
163_A	Brie	Larson	1989-11-01	Stany Zjednoczone
164_A	Charles	Laughton	1899-07-01	Wielkia Brytania
165_A	Jennifer	Lawrence	1990-08-15	Stany Zjednoczone
166_A	Cloris	Leachman	1926-04-30	Stany Zjednoczone
167_A	Heath	Ledge	1979-04-04	Australia
168_A	Tommy	Lee Jones	1946-09-15	Stany Zjednoczone
169_A	Vivien	Leigh	1913-10-05	Indie
17_A	Ethel	Barrymore	1879-08-15	Stany Zjednoczone
170_A	Jack	Lemmon	1925-02-08	Stany Zjednoczone
171_A	Melissa	Leo	1960-09-14	Stany Zjednoczone
172_A	Jared	Leto	1971-12-26	Stany Zjednoczone
173_A	Sophia	Loren	1934-09-20	Wlochy
174_A	Paul	Lukas	1891-05-26	Wegry
175_A	Shirley	MacLaine	1934-04-24	Stany Zjednoczone
176_A	Anna	Magnani	1908-03-07	Wlochy
177_A	Karl	Malden	1912-03-22	Stany Zjednoczone
178_A	Dorothy	Malone	1925-01-30	Stany Zjednoczone
179_A	Fredric	March	1897-08-31	Stany Zjednoczone
18_A	Lionel	Barrymore	1878-04-28	Stany Zjednoczone
180_A	Eva	Marie Saint	1924-07-04	Stany Zjednoczone
181_A	Lee	Marvin	1924-02-19	Stany Zjednoczone
182_A	Marlee	Matlin	1965-08-24	Stany Zjednoczone
183_A	Walter	Matthau	1920-11-01	Stany Zjednoczone
184_A	Mercedes	McCambridge	1916-03-16	Stany Zjednoczone
185_A	Matthew	McConaughey	1969-10-04	Stany Zjednoczone
186_A	Hattie	McDaniel	1895-06-10	Stany Zjednoczone
187_A	Frances	McDormand	1957-06-23	Stany Zjednoczone
188_A	Victor	McLaglen	1886-12-10	Wielkia Brytania
189_A	Ray	Milland	1907-01-03	Wielkia Brytania
19_A	Kim	Basinger	1953-12-08	Stany Zjednoczone
190_A	John	Mills	1908-02-22	Wielkia Brytania
191_A	Liza	Minnelli	1946-03-12	Stany Zjednoczone
192_A	Helen	Mirren	1945-07-26	Wielkia Brytania
193_A	Thomas	Mitchell	1892-06-15	Wielkia Brytania
194_A	Julianne	Moore	1960-12-03	Stany Zjednoczone
195_A	Rita	Moreno	1931-12-11	Portoryko
196_A	Paul	Muni	1895-09-22	Ukraina
197_A	F.Murray	 Abraham	1939-11-24	Stany Zjednoczone
198_A	Patricia	Neal	1926-01-20	Stany Zjednoczone
199_A	Paul	Newman	1925-01-26	Stany Zjednoczone
2_A	Casey	Affleck	1975-08-12	Stany Zjednoczone
20_A	Kathy	Bates	1948-06-28	Stany Zjednoczone
200_A	Jack	Nicholson	1937-04-22	Stany Zjednoczone
201_A	Mo	Nique	1967-12-11	Stany Zjednoczone
202_A	David	Niven	1910-03-01	Wielkia Brytania
203_A	Lupita	Nyongo	1983-03-01	Meksyk
204_A	Edmond	OBrien	1915-09-10	Stany Zjednoczone
205_A	Laurence	Olivier	1907-05-22	Wielkia Brytania
206_A	Tatum	ONeal	1963-10-05	Stany Zjednoczone
