id_filmu	id_aktora	kategoria
1_F	58_A	najlepszy aktor drugoplanowy
2_F	29_A	najlepszy aktor pierwszoplanowy
3_F	41_A	najlepsza aktorka pierwszoplanowa
4_F	197_A	najlepszy aktor pierwszoplanowy
5_F	252_A	najlepszy aktor pierwszoplanowy
6_F	25_A	najlepsza aktorka pierwszoplanowa
7_F	27_A	najlepsza aktorka drugoplanowa
8_F	153_A	najlepsza aktorka pierwszoplanowa
9_F	249_A	najlepsza aktorka drugoplanowa
10_F	107_A	najlepszy aktor drugoplanowy
11_F	84_A	najlepszy aktor pierwszoplanowy
12_F	28_A	najlepsza aktorka drugoplanowa
13_F	71_A	najlepszy aktor pierwszoplanowy
14_F	276_A	najlepszy aktor drugoplanowy
15_F	115_A	najlepszy aktor drugoplanowy
15_F	128_A	najlepszy aktor pierwszoplanowy
16_F	118_A	najlepszy aktor drugoplanowy
17_F	145_A	najlepszy aktor drugoplanowy
18_F	233_A	najlepszy aktor pierwszoplanowy
19_F	162_A	najlepsza aktorka pierwszoplanowa
20_F	28_A	najlepsza aktorka pierwszoplanowa
21_F	268_A	najlepszy aktor pierwszoplanowy
22_F	212_A	najlepsza aktorka drugoplanowa
23_F	204_A	najlepszy aktor drugoplanowy
24_F	9_A	najlepsza aktorka drugoplanowa
25_F	282_A	najlepszy aktor drugoplanowy
26_F	264_A	najlepsza aktorka pierwszoplanowa
27_F	243_A	najlepszy aktor pierwszoplanowy
28_F	230_A	najlepszy aktor pierwszoplanowy
29_F	123_A	najlepsza aktorka pierwszoplanowa
30_F	216_A	najlepszy aktor drugoplanowy
31_F	277_A	najlepszy aktor drugoplanowy
32_F	291_A	najlepsza aktorka pierwszoplanowa
33_F	251_A	najlepsza aktorka pierwszoplanowa
34_F	190_A	najlepszy aktor drugoplanowy
35_F	117_A	najlepszy aktor drugoplanowy
36_F	15_A	najlepsza aktorka pierwszoplanowa
36_F	86_A	najlepsza aktorka drugoplanowa
37_F	90_A	najlepszy aktor pierwszoplanowy
38_F	220_A	najlepsza aktorka pierwszoplanowa
39_F	26_A	najlepsza aktorka pierwszoplanowa
40_F	254_A	najlepsza aktorka drugoplanowa
41_F	34_A	najlepszy aktor drugoplanowy
42_F	175_A	najlepsza aktorka pierwszoplanowa
42_F	200_A	najlepszy aktor drugoplanowy
43_F	289_A	najlepszy aktor drugoplanowy
44_F	50_A	najlepsza aktorka pierwszoplanowa
45_F	218_A	najlepszy aktor drugoplanowy
46_F	8_A	najlepszy aktor pierwszoplanowy
47_F	276_A	najlepszy aktor drugoplanowy
48_F	179_A	najlepszy aktor pierwszoplanowy
49_F	135_A	najlepsza aktorka drugoplanowa
50_F	1_A	najlepszy aktor pierwszoplanowy
51_F	88_A	najlepszy aktor drugoplanowy
52_F	193_A	najlepszy aktor drugoplanowy
53_F	132_A	najlepsza aktorka drugoplanowa
54_F	182_A	najlepsza aktorka pierwszoplanowa
55_F	110_A	najlepsza aktorka drugoplanowa
56_F	277_A	najlepszy aktor pierwszoplanowy
57_F	83_A	najlepszy aktor pierwszoplanowy
58_F	273_A	najlepsza aktorka drugoplanowa
59_F	155_A	najlepsza aktorka pierwszoplanowa
60_F	161_A	najlepszy aktor drugoplanowy
61_F	152_A	najlepsza aktorka drugoplanowa
61_F	160_A	najlepszy aktor pierwszoplanowy
62_F	229_A	najlepsza aktorka pierwszoplanowa
63_F	187_A	najlepsza aktorka pierwszoplanowa
64_F	13_A	najlepszy aktor drugoplanowy
64_F	171_A	najlepsza aktorka drugoplanowa
65_F	119_A	najlepszy aktor pierwszoplanowy
66_F	257_A	najlepszy aktor pierwszoplanowy
67_F	232_A	najlepsza aktorka drugoplanowa
68_F	119_A	najlepszy aktor pierwszoplanowy
69_F	139_A	najlepsza aktorka pierwszoplanowa
69_F	211_A	najlepsza aktorka drugoplanowa
70_F	118_A	najlepszy aktor pierwszoplanowy
71_F	158_A	najlepszy aktor pierwszoplanowy
72_F	25_A	najlepsza aktorka pierwszoplanowa
73_F	65_A	najlepszy aktor pierwszoplanowy
74_F	157_A	najlepsza aktorka pierwszoplanowa
75_F	154_A	najlepsza aktorka drugoplanowa
76_F	67_A	najlepsza aktorka drugoplanowa
77_F	122_A	najlepsza aktorka pierwszoplanowa
78_F	61_A	najlepszy aktor pierwszoplanowy
78_F	184_A	najlepsza aktorka drugoplanowa
79_F	205_A	najlepszy aktor pierwszoplanowy
80_F	46_A	najlepszy aktor drugoplanowy
80_F	281_A	najlepsza aktorka drugoplanowa
81_F	47_A	najlepszy aktor pierwszoplanowy
82_F	136_A	najlepsza aktorka drugoplanowa
83_F	201_A	najlepsza aktorka drugoplanowa
84_F	142_A	najlepsza aktorka drugoplanowa
85_F	80_A	najlepszy aktor drugoplanowy
